cluster index	parent mass	RTMean	component	#Scan#	Compound_Name
3926	150.0245978	1.4583229	596	1688	242
6171	150.024652	2.3042223	398	10930	"""(1S,2S,6R,7R,9R)-6-methyl-10,12-dioxatricyclo[7.2.1.0<2,7>]dodec-4-en-8-one CollisionEnergy:102040"""
1326	150.0584883	0.24394739	1723	9693	"""(R)-4-((3R,5R,6R,7R,8R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"""
1877	150.0742946	0.4567853	-1	9470	"""(R)-4-((3S,5S,7S,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"""
1421	150.0775199	0.25037915	-1	13370	"""2-ETHYL-1,3-HEXANEDIOL"""
4242	150.0913611	1.5288461	1265	4324	"""3,4,5-Trimethoxyphenol CollisionEnergy:102040"""
876	150.1125386	0.21456392	-1	9773	"""3alpha,7alpha-dihydroxy-12-oxo-5beta-cholanic acid"""
3383	151.0325161	1.250454	9	13454	"""9,10-Dihydroxystearic acid"""
2045	151.0325224	0.55563295	9	11431	"""9,10-Dihydroxystearic acid"""
5720	151.0325281	2.084516	194	12746	"""N,N-dimethylarginine (Chimeric precursor selection)"""
14108	151.0979079	5.4778495	9	12972	(.+/-.)-trans-Nerolidol - 40.0 eV
14472	151.0979218	5.6173034	1501	11427	"(1S,5R,9S,13R)-14-formyl-5,9-dimethyltetracyclo[11.2.1.0�,��?�.0�?�,�?�]hexadec-14-ene-5-carboxylic acid"
15401	151.0979404	7.42768	405	4444	(R)-3-Hydroxybutanoic acid
15002	151.0979583	6.2307396	-1	11729	"1,4a-dimethyl-9-oxo-7-propan-2-yl-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid"
14933	151.097962	6.1012845	42	1226	"1,6-propano-3-ethylideno-1,4-piperazine-2,5-dione"
14853	151.0979659	5.9635997	9	12993	10-HYDROXYDECANOATE
5224	151.0992536	1.8844097	9	12975	10-Hydroxydecanoic acid CollisionEnergy:205060
4859	151.0992567	1.7605666	206	13509	113777-33-6
3283	151.099269	1.205744	206	15384	113777-33-6
3865	151.0992713	1.4273831	9	13448	12-Hydroxydodecanoic acid CollisionEnergy:205060
7358	151.0992863	2.6057088	-1	2132	1-beta-D-Glucopyranosyl-L-tryptophan
5844	151.0992868	2.155974	9	11575	"1-methyl-4-(6-methylhept-5-en-2-yl)-2,3-dioxabicyclo[2.2.2]oct-5-ene"
9034	151.0993083	3.1285203	1173	11494	"1-methyl-4-(6-methylhept-5-en-2-yl)-2,3-dioxabicyclo[2.2.2]oct-5-ene"
8346	151.0993331	2.84758	-1	5982	"2,3-bis[(4-hydroxy-3-methoxyphenyl)methyl]butane-1,4-diol"
943	151.949802	0.21875323	168	1680	2'-O-Me-Ado - 40.0 eV
5810	152.0166127	2.1527975	136	7097	"3,6-bis(1H-indol-3-ylmethyl)piperazine-2,5-dione"
1187	152.0567606	0.2394002	875	13687	302776-68-7
1183	152.0706386	0.23844236	42	1935	"3-ethyl-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione"
3823	152.0706753	1.4181134	42	3909	"3-ethyl-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione"
1996	152.0707113	0.51486975	9	8606	"4,8-dimethyl-1-(propan-2-yl)-9,10-dioxatricyclo[6.2.2.0�,�?�]dodeca-2(7),3,5-triene"
2133	152.070717	0.62507725	133	13476	4-aminobutanoic acid_dodecanoic acid
1936	152.1071071	0.47664368	-1	1244	5'-Deoxy-5'-(methylsulfinyl)adenosine
14346	152.1182997	5.6053877	168	2179	5'-METHYLTHIOADENOSINE
13680	152.1183057	5.3243527	34	4577	7724-76-7
14213	152.1183143	5.4888797	136	7147	82597-82-8
15171	152.118324	6.4973316	-1	14094	99207-33-7
15313	152.1183217	6.933969	80	14681	ACARBOSE
14696	152.118322	5.7806206	-1	9910	acetic_acid_isobutyl_ester
15073	152.1183224	6.339655	506	13726	Ala-C18:1
15353	152.1183233	7.1718864	506	12110	Ala-C18:1
15006	152.1183246	6.235751	160	2455	amitriptyline
15231	152.1183259	6.7106905	160	13556	AMITRIPTYLINE
14911	152.1183281	6.094388	160	6133	AMITRIPTYLINE
14860	152.1183288	5.943095	-1	11286	B04A18
661	152.1184669	0.15385556	256	15294	Batebulast
6149	153.023824	2.3039656	136	6742	C4:0 N-Acyl Phenylalanine
1503	153.0407581	0.30808884	239	7453	Cannabidiolic acid
3937	153.0547487	1.4608668	45	3465	CHEMBL152586
3687	153.0917291	1.366548	80	14334	CHEMBL2312075
2802	153.102207	1.0386684	80	12636	CHEMBL2312075
3176	153.102285	1.1577358	80	13597	CHEMBL3787155
2298	153.1022988	0.78090656	1466	12212	Cholyl_beta-Alanine
3402	154.0316937	1.2483648	-1	15050	Contaminant vial septum ThermoFisher C5000-44B
4054	154.0734631	1.4937129	80	14326	Contaminant vial septum ThermoFisher C5000-44B
3716	154.0735307	1.3777941	80	14601	Contaminant vial septum ThermoFisher C5000-44B
4753	154.0735694	1.732715	80	14783	Contaminant vial septum ThermoFisher C5000-44B
4356	154.073589	1.6020716	80	15040	Contaminants septum vial Thermo C4000-53 and C4000-54 serie
2599	154.073631	0.9656182	80	15277	Contaminants septum vial Thermo C4000-53 and C4000-54 serie
1327	154.0862921	0.24548286	80	10766	Contaminants septum vial Thermo C4000-53 and C4000-54 serie
4541	154.0862992	1.6737989	80	15547	Contaminants septum vial Thermo C4000-53 and C4000-54 serie
