filename	ATTRIBUTE_Sample_Type	ATTRIBUTE_Timepoint	ATTRIBUTE_Treatment	ATTRIBUTE_Replicate
Blank_1_20240702123809.mzML Peak area	Blank	Blank	Blank	Blank
Blank_10.mzML Peak area	Blank	Blank	Blank	Blank
Blank_15.mzML Peak area	Blank	Blank	Blank	Blank
Blank_2.mzML Peak area	Blank	Blank	Blank	Blank
Blank_20.mzML Peak area	Blank	Blank	Blank	Blank
Blank_26.mzML Peak area	Blank	Blank	Blank	Blank
Blank_5.mzML Peak area	Blank	Blank	Blank	Blank
T0_DMSO_Bac_rep1.mzML Peak area	DMSO	T0	DMSO with Bacteria	Rep 1
T0_DMSO_Bac_rep2.mzML Peak area	DMSO	T0	DMSO with Bacteria	Rep 2
T0_DMSO_Bac_rep3.mzML Peak area	DMSO	T0	DMSO with Bacteria	Rep 3
T1_DMSO_Bac_rep1.mzML Peak area	DMSO	T1	DMSO with Bacteria	Rep 1
T1_DMSO_Bac_rep2.mzML Peak area	DMSO	T1	DMSO with Bacteria	Rep 2
T1_DMSO_Bac_rep3.mzML Peak area	DMSO	T1	DMSO with Bacteria	Rep 3
T2_DMSO_Bac_rep1.mzML Peak area	DMSO	T2	DMSO with Bacteria	Rep 1
T2_DMSO_Bac_rep2.mzML Peak area	DMSO	T2	DMSO with Bacteria	Rep 2
T2_DMSO_Bac_rep3.mzML Peak area	DMSO	T2	DMSO with Bacteria	Rep 3
T3_DMSO_Bac_rep1.mzML Peak area	DMSO	T3	DMSO with Bacteria	Rep 1
T3_DMSO_Bac_rep2.mzML Peak area	DMSO	T3	DMSO with Bacteria	Rep 2
T3_DMSO_Bac_rep3.mzML Peak area	DMSO	T3	DMSO with Bacteria	Rep 3
T4_DMSO_Bac_rep1.mzML Peak area	DMSO	T4	DMSO with Bacteria	Rep 1
T4_DMSO_Bac_rep2.mzML Peak area	DMSO	T4	DMSO with Bacteria	Rep 2
T4_DMSO_Bac_rep3.mzML Peak area	DMSO	T4	DMSO with Bacteria	Rep 3
T5_DMSO_Bac_rep1.mzML Peak area	DMSO	T5	DMSO with Bacteria	Rep 1
T5_DMSO_Bac_rep2.mzML Peak area	DMSO	T5	DMSO with Bacteria	Rep 2
T5_DMSO_Bac_rep3.mzML Peak area	DMSO	T5	DMSO with Bacteria	Rep 3
T6_DMSO_Bac_rep1.mzML Peak area	DMSO	T6	DMSO with Bacteria	Rep 1
T6_DMSO_Bac_rep2.mzML Peak area	DMSO	T6	DMSO with Bacteria	Rep 2
T6_DMSO_Bac_rep3.mzML Peak area	DMSO	T6	DMSO with Bacteria	Rep 3
T7_DMSO_Bac_rep1.mzML Peak area	DMSO	T7	DMSO with Bacteria	Rep 1
T7_DMSO_Bac_rep2.mzML Peak area	DMSO	T7	DMSO with Bacteria	Rep 2
T7_DMSO_Bac_rep3.mzML Peak area	DMSO	T7	DMSO with Bacteria	Rep 3
T8_DMSO_Bac_rep1.mzML Peak area	DMSO	T8	DMSO with Bacteria	Rep 1
T8_DMSO_Bac_rep2.mzML Peak area	DMSO	T8	DMSO with Bacteria	Rep 2
T8_DMSO_Bac_rep3.mzML Peak area	DMSO	T8	DMSO with Bacteria	Rep 3
T0_Medium_noBac_rep1.mzML Peak area	Medium	T0	Medium	Rep 1
T0_Medium_noBac_rep2.mzML Peak area	Medium	T0	Medium	Rep 2
T0_Medium_noBac_rep3.mzML Peak area	Medium	T0	Medium	Rep 3
T1_Medium_noBac_rep1.mzML Peak area	Medium	T1	Medium	Rep 1
T1_Medium_noBac_rep2.mzML Peak area	Medium	T1	Medium	Rep 2
T1_Medium_noBac_rep3.mzML Peak area	Medium	T1	Medium	Rep 3
T2_Medium_noBac_rep1.mzML Peak area	Medium	T2	Medium	Rep 1
T2_Medium_noBac_rep2.mzML Peak area	Medium	T2	Medium	Rep 2
T2_Medium_noBac_rep3.mzML Peak area	Medium	T2	Medium	Rep 3
T3_Medium_noBac_rep1.mzML Peak area	Medium	T3	Medium	Rep 1
T3_Medium_noBac_rep2.mzML Peak area	Medium	T3	Medium	Rep 2
T3_Medium_noBac_rep3.mzML Peak area	Medium	T3	Medium	Rep 3
T4_Medium_noBac_rep1.mzML Peak area	Medium	T4	Medium	Rep 1
T4_Medium_noBac_rep2.mzML Peak area	Medium	T4	Medium	Rep 2
T4_Medium_noBac_rep3.mzML Peak area	Medium	T4	Medium	Rep 3
T5_Medium_noBac_rep1.mzML Peak area	Medium	T5	Medium	Rep 1
T5_Medium_noBac_rep2.mzML Peak area	Medium	T5	Medium	Rep 2
T5_Medium_noBac_rep3.mzML Peak area	Medium	T5	Medium	Rep 3
T6_Medium_noBac_rep1.mzML Peak area	Medium	T6	Medium	Rep 1
T6_Medium_noBac_rep2.mzML Peak area	Medium	T6	Medium	Rep 2
T6_Medium_noBac_rep3.mzML Peak area	Medium	T6	Medium	Rep 3
T7_Medium_noBac.mzML Peak area	Medium	T7	Medium	Rep 1
T7_Medium_noBac_20240705172750.mzML Peak area	Medium	T7	Medium	Rep 2
T7_Medium_noBac_20240705211416 - Copy.mzML Peak area	Medium	T7	Medium	Rep 3
T7_Medium_noBac_20240705211416.mzML Peak area	Medium	T7	Medium	Rep 3
T8_Medium_noBac_rep1.mzML Peak area	Medium	T8	Medium	Rep 1
T8_Medium_noBac_rep2.mzML Peak area	Medium	T8	Medium	Rep 2
T8_Medium_noBac_rep3.mzML Peak area	Medium	T8	Medium	Rep 3
T0_Compound_Bac_rep1.mzML Peak area	Drug	T0	Treatment	Rep 1
T0_Compound_Bac_rep2.mzML Peak area	Drug	T0	Treatment	Rep 2
T0_Compound_Bac_rep3.mzML Peak area	Drug	T0	Treatment	Rep 3
T0_Compound_noBac_rep1.mzML Peak area	Drug	T0	Abiotic Control	Rep 1
T0_Compound_noBac_rep2.mzML Peak area	Drug	T0	Abiotic Control	Rep 2
T0_Compound_noBac_rep3.mzML Peak area	Drug	T0	Abiotic Control	Rep 3
T1_Compound_Bac_rep1.mzML Peak area	Drug	T1	Treatment	Rep 1
T1_Compound_Bac_rep2.mzML Peak area	Drug	T1	Treatment	Rep 2
T1_Compound_Bac_rep3.mzML Peak area	Drug	T1	Treatment	Rep 3
T1_Compound_noBac_rep1.mzML Peak area	Drug	T1	Abiotic Control	Rep 1
T1_Compound_noBac_rep2.mzML Peak area	Drug	T1	Abiotic Control	Rep 2
T1_Compound_noBac_rep3.mzML Peak area	Drug	T1	Abiotic Control	Rep 3
T2_Compound_Bac_rep1.mzML Peak area	Drug	T2	Treatment	Rep 1
T2_Compound_Bac_rep2.mzML Peak area	Drug	T2	Treatment	Rep 2
T2_Compound_Bac_rep3.mzML Peak area	Drug	T2	Treatment	Rep 3
T2_Compound_noBac_rep1.mzML Peak area	Drug	T2	Abiotic Control	Rep 1
T2_Compound_noBac_rep2.mzML Peak area	Drug	T2	Abiotic Control	Rep 2
T2_Compound_noBac_rep3.mzML Peak area	Drug	T2	Abiotic Control	Rep 3
T3_Compound_Bac_rep1.mzML Peak area	Drug	T3	Treatment	Rep 1
T3_Compound_Bac_rep2.mzML Peak area	Drug	T3	Treatment	Rep 2
T3_Compound_Bac_rep3.mzML Peak area	Drug	T3	Treatment	Rep 3
T3_Compound_noBac_rep1.mzML Peak area	Drug	T3	Abiotic Control	Rep 1
T3_Compound_noBac_rep2.mzML Peak area	Drug	T3	Abiotic Control	Rep 2
T3_Compound_noBac_rep3.mzML Peak area	Drug	T3	Abiotic Control	Rep 3
T4_Compound_Bac_rep1.mzML Peak area	Drug	T4	Treatment	Rep 1
T4_Compound_Bac_rep2.mzML Peak area	Drug	T4	Treatment	Rep 2
T4_Compound_Bac_rep3.mzML Peak area	Drug	T4	Treatment	Rep 3
T4_Compound_noBac_rep1.mzML Peak area	Drug	T4	Abiotic Control	Rep 1
T4_Compound_noBac_rep2.mzML Peak area	Drug	T4	Abiotic Control	Rep 2
T4_Compound_noBac_rep3.mzML Peak area	Drug	T4	Abiotic Control	Rep 3
T5_Compound_Bac_rep1.mzML Peak area	Drug	T5	Treatment	Rep 1
T5_Compound_Bac_rep2.mzML Peak area	Drug	T5	Treatment	Rep 2
T5_Compound_Bac_rep3.mzML Peak area	Drug	T5	Treatment	Rep 3
T5_Compound_noBac_rep1.mzML Peak area	Drug	T5	Abiotic Control	Rep 1
T5_Compound_noBac_rep2.mzML Peak area	Drug	T5	Abiotic Control	Rep 2
T5_Compound_noBac_rep3.mzML Peak area	Drug	T5	Abiotic Control	Rep 3
T6_Compound_Bac_rep1.mzML Peak area	Drug	T6	Treatment	Rep 1
T6_Compound_Bac_rep2.mzML Peak area	Drug	T6	Treatment	Rep 2
T6_Compound_Bac_rep3.mzML Peak area	Drug	T6	Treatment	Rep 3
T6_Compound_noBac_rep1.mzML Peak area	Drug	T6	Abiotic Control	Rep 1
T6_Compound_noBac_rep2.mzML Peak area	Drug	T6	Abiotic Control	Rep 2
T6_Compound_noBac_rep3.mzML Peak area	Drug	T6	Abiotic Control	Rep 3
T7_Compound_Bac_rep1.mzML Peak area	Drug	T7	Treatment	Rep 1
T7_Compound_Bac_rep2.mzML Peak area	Drug	T7	Treatment	Rep 2
T7_Compound_Bac_rep3.mzML Peak area	Drug	T7	Treatment	Rep 3
T7_Compound_noBac_rep1.mzML Peak area	Drug	T7	Abiotic Control	Rep 1
T7_Compound_noBac_rep2.mzML Peak area	Drug	T7	Abiotic Control	Rep 2
T7_Compound_noBac_rep3.mzML Peak area	Drug	T7	Abiotic Control	Rep 3
T8_Compound_Bac_rep1.mzML Peak area	Drug	T8	Treatment	Rep 1
T8_Compound_Bac_rep2.mzML Peak area	Drug	T8	Treatment	Rep 2
T8_Compound_Bac_rep3.mzML Peak area	Drug	T8	Treatment	Rep 3
T8_Compound_noBac_rep1.mzML Peak area	Drug	T8	Abiotic Control	Rep 1
T8_Compound_noBac_rep2.mzML Peak area	Drug	T8	Abiotic Control	Rep 2
T8_Compound_noBac_rep3.mzML Peak area	Drug	T8	Abiotic Control	Rep 3
Polled_QC_17.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Polled_Qcs_1.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Polled_Qcs_2.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Polled_Qcs_3.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Polled_Qcs_4.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Polled_Qcs_5.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Polled_Qcs_6.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Polled_Qcs_7.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Polled_Qcs_8.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_10.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_11.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_12.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_13.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_15.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_16.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_18.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_19.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_20.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_21.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_22.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_23.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_24.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_25.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_26.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
Pooled_QC_9.mzML Peak area	Pooled QC	Pooled QC	Pooled QC	Pooled QC
