CLUSTERID1,CLUSTERID2,ComponentIndex,Cosine,DeltaMZ
11267,13722,2,0.8692,-32.004
9900,13722,2,0.9059,-0.984
12369,13722,2,0.8699,-32.005
13516,13722,2,0.8939,39.011
13635,13722,2,0.9062,-48
11894,14750,2,0.7207,-152.23
7117,14750,2,0.8074,-120.203
7926,7931,2,0.9345,31.042
7926,8002,2,0.8555,1.003
7926,8010,2,0.9315,1.997
10303,12026,2,0.9389,85.032
11235,12026,2,0.9533,0.995
11752,12026,2,0.942,12
11919,12026,2,0.9744,-14.016
12026,13316,2,0.9513,-28.031
8739,12026,2,0.9426,14.016
8806,12026,2,0.9672,-15
9271,12026,2,0.9455,15.995
9794,12026,2,0.9375,114.105
9925,12026,2,0.9662,28.068
11805,12091,2,0.8691,55.99
11437,13542,2,0.8864,156.079
11437,14005,2,0.8882,-112.125
7974,11437,2,0.862,184.971
8832,10150,2,0.9295,0
9271,10150,2,0.9108,-14.016
9925,10150,2,0.9196,-1.943
10150,11235,2,0.9098,29.015
10150,11919,2,0.9235,44.027
10150,12742,2,0.9083,15.995
7930,7968,2,0.809,3.996
7968,7976,2,0.7693,-1.998
8806,8832,2,0.9279,-45.01
8832,9925,2,0.9376,1.943
8832,11235,2,0.9296,29.015
8832,11919,2,0.9509,44.026
11267,13635,2,0.8496,15.996
9900,13635,2,0.8649,47.017
12369,13635,2,0.8321,15.995
13516,13635,2,0.8507,87.011
7117,7761,2,0.9203,30.01
7117,9233,2,0.9041,55.015
7117,9434,2,0.9063,55.015
7117,11267,2,0.8807,36.02
9168,9316,2,0.884,31.006
9316,9360,2,0.9175,-30.011
9316,9440,2,0.8303,-76.016
9316,9452,2,0.893,-47.985
9316,10070,2,0.8086,-23.016
6991,8044,2,0.9461,-35.958
7999,8044,2,0.9715,1.997
8044,8054,2,0.9455,-31.042
8044,8065,2,0.9739,1.997
8044,8980,2,0.9358,1.997
8044,9750,2,0.9718,1.997
8044,10102,2,0.9609,1.997
8044,12008,2,0.9734,1.997
8044,12019,2,0.975,0
8044,13279,2,0.961,1.997
8267,9415,2,0.7617,-93.023
9233,9415,2,0.9055,-1.997
9247,9415,2,0.9708,0
9249,9415,2,0.8789,1.003
9415,9416,2,0.8658,-1.003
9415,9434,2,0.9066,1.997
9415,9922,2,0.7407,35.956
9415,10305,2,0.7191,-20.005
8806,9271,2,0.9404,-30.995
8806,9873,2,0.9347,-64.032
8806,9925,2,0.9644,-43.068
8806,10303,2,0.9426,-100.032
8806,11235,2,0.9563,-15.995
8806,11752,2,0.9371,-27
8806,11919,2,0.9593,-0.984
8806,13316,2,0.946,-43.031
8392,13301,2,0.8855,45.058
9752,13301,2,0.9457,0
7931,13301,2,0.8764,1.997
8010,13301,2,0.9024,31.042
8011,13301,2,0.9425,0
8276,13542,2,0.9318,14.016
10108,13542,2,0.9415,0
13542,13768,2,0.9413,0
13542,14038,2,0.9558,0
8002,13542,2,0.9088,3.993
8054,13542,2,0.926,1.997
8276,13768,2,0.9547,14.016
10108,13768,2,0.9432,0
13768,14038,2,0.9262,0
13768,14083,2,0.912,-1.997
8002,13768,2,0.9204,3.993
8054,13768,2,0.9493,1.997
8073,13768,2,0.9544,0
9247,9416,2,0.8508,-1.003
9249,9416,2,0.9692,0
9416,9882,2,0.7885,15.995
9416,9922,2,0.8249,36.959
9416,10320,2,0.7877,-20.005
9416,11923,2,0.8263,79.042
9416,12021,2,0.8564,65.026
7659,9416,2,0.7686,-5.005
5557,13283,2,0.8241,-1.997
13283,14083,2,0.8804,0
9249,9882,2,0.7948,15.995
9882,9922,2,0.8669,20.964
9882,10320,2,0.9352,-36
9882,11923,2,0.8741,63.047
9882,12021,2,0.8856,49.032
7659,9882,2,0.8329,10.989
7974,11276,2,0.916,201.002
7931,8011,2,0.8927,1.997
8010,8011,2,0.9304,31.042
8011,8392,2,0.8902,-45.058
8011,9752,2,0.9311,0
8011,11923,2,0.7963,-59.037
10320,11923,2,0.8656,99.047
11923,12021,2,0.9533,-14.016
8392,11923,2,0.841,-13.979
9249,11923,2,0.8488,79.042
9922,11923,2,0.9188,42.084
7659,11923,2,0.8787,74.037
8010,11923,2,0.8536,-27.995
11267,13516,2,0.822,-71.015
11752,12583,2,0.9176,-42.011
12091,12583,2,0.9255,-27.995
9271,12583,2,0.9029,-38.016
11894,12121,2,0.8121,30.011
6991,7999,2,0.9297,-37.955
7999,8002,2,0.9446,-31.042
7999,8065,2,0.9418,3.993
7999,8980,2,0.9158,3.993
7999,9750,2,0.9451,3.993
7999,12008,2,0.9441,3.993
7999,12019,2,0.9598,1.997
8267,8392,2,0.7777,-1.005
8392,9752,2,0.8739,45.058
8392,9922,2,0.8051,-56.062
8392,12021,2,0.7699,-27.995
7659,8392,2,0.7541,88.016
8010,8392,2,0.9621,-14.016
7930,7976,2,0.8516,1.998
12008,12019,2,0.9695,-1.997
12008,13279,2,0.9792,0
8980,12008,2,0.9495,0
9750,12008,2,0.9876,0
10102,12008,2,0.9763,0
6991,12008,2,0.9602,-33.961
8065,12008,2,0.992,0
8073,12008,2,0.9501,31.042
9168,9440,2,0.8432,-45.01
9272,9440,2,0.7782,-37.005
9360,9440,2,0.9366,-46.005
9440,9452,2,0.8531,28.032
9440,10070,2,0.8042,53
11235,11919,2,0.9607,15.011
11919,13316,2,0.936,-42.047
8739,11919,2,0.92,28.031
9271,11919,2,0.9578,30.011
9794,11919,2,0.9196,128.12
9925,11919,2,0.9718,42.084
7931,9752,2,0.8782,1.996
8002,8054,2,0.9806,1.997
8054,8073,2,0.979,1.997
8054,8267,2,0.9705,-14.015
8054,10108,2,0.9437,1.997
8054,12019,2,0.9413,31.042
8054,14038,2,0.9029,1.997
8054,14083,2,0.9027,0
9233,9900,2,0.9216,-50.016
9432,9900,2,0.8617,13.041
9434,9900,2,0.9225,-50.016
10108,14038,2,0.9106,0
8002,14038,2,0.8868,3.993
9206,9432,2,0.8728,-14.016
9233,9432,2,0.8937,-63.057
9432,9434,2,0.8892,63.057
8010,9752,2,0.8904,31.042
8739,9233,2,0.9059,-51.011
8739,9434,2,0.8994,-51.011
8739,9794,2,0.9393,-100.089
8739,9925,2,0.9257,-14.052
8739,11235,2,0.91,13.02
8739,11752,2,0.9291,2.016
8739,13316,2,0.9284,-14.015
11752,12091,2,0.9085,-14.016
9271,12091,2,0.9166,-10.021
9863,12091,2,0.8756,51.995
10303,13316,2,0.9119,57.001
11235,13316,2,0.9288,-27.036
11752,13316,2,0.9217,-16.031
9271,13316,2,0.9223,-12.036
9794,13316,2,0.9157,86.074
9925,13316,2,0.9496,0.037
8267,8276,2,0.9635,1.996
8276,10102,2,0.9362,45.058
8276,10108,2,0.9473,14.016
8073,8276,2,0.9869,-14.016
8002,10108,2,0.9216,3.993
8073,10108,2,0.9455,0
12019,13279,2,0.9631,1.997
8980,13279,2,0.9423,0
9750,13279,2,0.9778,0
10102,13279,2,0.9704,0
13279,14224,2,0.9439,0
6991,13279,2,0.9507,-33.961
8065,13279,2,0.979,0
8073,13279,2,0.9329,31.042
9233,9247,2,0.9045,-1.997
9233,9434,2,0.9908,0
9233,9794,2,0.9222,-49.078
7761,9233,2,0.8967,25.005
9247,9249,2,0.8616,-1.003
9249,9922,2,0.8295,36.959
9249,10320,2,0.7988,-20.005
9249,12021,2,0.8762,65.027
7659,9249,2,0.782,-5.005
8010,9249,2,0.771,-107.037
9357,9360,2,0.7701,3
10320,12021,2,0.9077,85.032
9922,12021,2,0.9245,28.068
7659,12021,2,0.8903,60.021
8010,12021,2,0.7884,-42.011
8002,8073,2,0.9505,3.993
8065,8073,2,0.949,-31.042
8073,9750,2,0.9443,31.042
8073,10102,2,0.9407,31.042
8980,9750,2,0.9547,0
8980,10102,2,0.9555,0
8980,12019,2,0.937,-1.997
6991,8980,2,0.9555,-33.961
8065,8980,2,0.9527,0
9750,10102,2,0.9813,0
9750,12019,2,0.9708,-1.997
6991,9750,2,0.9658,-33.961
8065,9750,2,0.9894,0
10102,12019,2,0.9631,-1.997
6991,10102,2,0.9657,-33.961
8065,10102,2,0.9769,0
9781,9873,2,0.926,30.011
9784,9873,2,0.9029,86.04
